"Please choose one of the following payment methods.","Por favor, escolha um dos seguintes métodos de pagamento."
"If you choose to simply continue, default method will be", "Se você optar simplesmente continuar, o método padrão será"
"Bank Transfer","Bank Transfer"
"CashU","CashU"
"DineroMail","DineroMail"
"Multibanco SIBS","Multibanco SIBS"
"Ukash","Ukash"
"Debito Banco do Brasil","Débito Banco do Brasil"
"CuentaDigital","CuentaDigital"
"CardsBrazil","CardsBrazil"
"Paysafecard","Paysafecard"
"PayPal","PayPal"
"PagTotal","PagTotal"
"MercadoPago","MercadoPago"
"Mozca","Mozca"
"Boleto","Boleto Bancário"
"Debito","Débito Bradesco"
"Transferencia","Transferência Entre Contas"
"Boleto Itau", "Boleto Itaú"
"Bitcoin","Bitcoin"
"Bank Transfer description","A Transferência Bancária oferece a possibilidade de pagar localmente através da sua própria conta bancária. Irá receber um número de referência e os detalhes da conta para poder efectuar o pagamento."
"CashU description","CashU is the most widely used prepaid and electronic wallet in the Middle East and North Africa (excluding credit cards).You could simply use Cashu prepaid cards directly or you can open a CashU account and then reload your account. If you do not have a CashU account click <a href=""https://www.cashu.com/CLogin/registersForm?lang=en"" target=""_blank"">here</a> to register."
"DineroMail description","DineroMail é um sistema electrónico de pagamento capital no mercado Latino Americano que oferece todos os métodos populares de pagamento disponíveis em Argentina, Brasil,Chile, Colômbia e Mexico. Se não tiver uma conta DineroMail faça clique <a href=""http://www.dineromail.com/"" target=""_blank"">aqui</a> para se registar."
"Multibanco SIBS description","Através do Multibanco/SIBS você recebe detlahes de pagamento (3 conjuntos de dígitos - Entidade, Referência e Valor) que pode usar para pagar o Comerciante. Pode efectuar este pagamento através de ATMs Multibanco, internet banking ou celulares."
"Ukash description","O comprovativo Ukash é um comprovativo pré-pago que pode usar para pagar - não tem taxas extras. Portanto, se quiser pagar através do comprovativo Ukash simplesmente visite <a href=""http://www.ukash.com/global/en/where-to-get/global.aspx"" target=""_blank"">a loja mais</a> perta de você. Para pagar só precisa preencher o código do comprovativo composto por 19 dígitos e o valor do comprovativo."
"Debito Banco do Brasil description","O Débito Banco do Brasil permite a você pagar online através da sua conra bancária - rápido, fácil e seguro. Precisa ter uma conta bancária com internet banking no Banco do Brasil."
"CuentaDigital description","CuentaDigital is a leading electronic wallet provider in South America that offers all of the most popular payment methods available. To purchase with this method you need to have a CuentaDigital account. Click <a href=""https://www.cuentadigital.com/area.php?name=cliente&op=new_user"" target=""_blank"">here</a>to register and then reload the account if you do not have already a CuentaDigital account."
"CardsBrazil description","Escolha a marca do carto e digitar os dados do cartão. Os tipos de cartões suportados: Visa, Mastercard, Amex, Diners, JCB, Hipercard, Sorocred, Aura, Discover, Cabal e Argencard."
"Paysafecard description","O comprovativo paysafecard é um comprovativo que pode usar para pagar - não tem taxas suplementares. Então, se quiser fazer compras através do comprovativo Paysafecard pode simplesmente visitar a loja mais perta. Depois simplesmente introduza o código comprovativo de 16 dígitos e eis está - o pagamento está pronto."
"PayPal description","PayPal is the world's largest online payment network, serving over 230 million members in 190 countries and regions. With PayPal you can pay using your credit card or checking account. If you do not have a PayPal account click <a href=""https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=POF0zpshlSyFe4t6PMraBTKqVa0vfnf5zlWQViMb3horYjAo21mGHfjsmmO&dispatch=5885d80a13c0db1f8e263663d3faee8d7283e7f0184a5674430f290db9e9c846"" target=""_blank"">here</a> to register."
"PagTotal description","PagTotal é uma maneira de pagamento no Brasil, reforçado através da segurança do celular. A vantagem principal do uso da PagTotal é que facilita o pagamento e a confirmação do pagamento em qualquer sítio estiver, através de um simplez SMS. Se ainda não tiver uma conta Pagtotal faça clique <a href=""https://pagtotal.com.br/cadastro.php"" target=""_blank"">aqui</a> para se registar."
"MercadoPago description","MercadoPago banco de a maior Carteira Internet na América Latina que lhe permite pagar através dos mais populares métodos de pagamento. Para pagar através do MercadoPago precisa de ter uma conta MercadoPago. Se não tiver uma conta MercadoPago faça clique <a href=""https://www.mercadopago.com/mlb/cadastro/register"" target=""_blank"">aqui</a> para se registar."
"Mozca description","Para pagar através da Mozca é muito fácil: você simplesmente utiliza o seu número do celular e uma palavra passe de 4 dígitos para confirmar que o seu celular realmente pertença a você e está com você no momento. Um Código PIN MOZCA será enviado a você através de um SMS de maneira a confirmar o seu pagamento."
"Boleto description","Boleto Bancário é uma das mais utilizadas opções de pagamento no Brasil. Para pagar através do Boleto Bancário tem que imprimir o Boleto e ir a uma sucursal física do banco na sua área e pagar com dinheiro, utilizar o banking online, ou simplesmente ir a uma caixa ATM."
"Debito description","Débito Bradesco é uma opção de pagamento através de ""transferência bancário ao vivo"" disponível para Clientes do Banco Bradesco no Brasil. Só precisa preencher o número do seu cartão de débito do Banco Bradesco e confirmar o pagamento através do código PIN."
"Transferencia description","A Transferência Entre Contas é um método de transferência bancária ao vivo que permite a você efectuar o pagamento. Para utilizar este método de pagamento você precisa de uma conta bancária com internet banking na Bradesco."
"Boleto Itau description", "To pay with Boleto Itaú you need to print the Boleto and go to a physical bank branch in your area and pay with cash, online banking, or simply go to an ATM machine."
"Bitcoin description", "Bitcoin é a maneira mais simples de pagar online. Bitcoin usa a tecnologia peer-to-peer para operar com nenhuma autoridade central ou bancos e é protegido por criptografia de nível militar."
