"Please choose one of the following payment methods.","Please choose one of the following payment methods."
"If you choose to simply continue, default method will be", "If you simply choose continue, the default payment method will be"
"PaymentInstructionsSubject","Payment instructions for order #%s"
"BankTransferMessage","You have chosen to pay using bank transfer. Please find below your personal reference number and our bank details. Always enter the reference number under ""Purpose of payment"" when making a bank transfer."
"BankTransferTerms","A bank transfer payment is reported by the bank in 1-3 bank days (Saturday, Sunday and national holidays not included)!"
"Payment Method","Payment Method"
"Payment Method Fee","Payment Method Fee"
"referencenumber","Reference Number"
"amounttopay","Amount to pay"
"accountholder","Account Holder"
"bankname","Bank Name"
"accountnumber","Account Number"
"swift_bic","SWIFT/BIC"
"iban","IBAN"
"accountcurrency","Account Currency"
"entitynumber","Entity Number"
"Last Update","Last Update"
"Payment Confirmation","Payment confirmation for order #%s"
