"Please choose one of the following payment methods.","Please choose one of the following payment methods."
"If you choose to simply continue, default method will be", "If you simply choose continue, the default payment method will be"
"Bank Transfer","Bank Transfer"
"iDEAL","iDEAL"
"MrCash","MrCash"
"Giropay","Giropay"
"EPS","EPS"
"UseMyFunds","UseMyFunds"
"Sofort Banking","Sofort Banking"
"Przelewy24","Przelewy24"
"OneCard","OneCard"
"CashU","CashU"
"POLi","POLi"
"DineroMail","DineroMail"
"Multibanco SIBS","Multibanco SIBS"
"Moneta Wallet","Moneta Wallet"
"Paysera","Paysera"
"Alipay","Alipay"
"Abaqoos","Abaqoos"
"ePlatby for eKonto","ePlatby for eKonto"
"Ukash","Ukash"
"Trustly","Trustly"
"Debito Banco do Brasil","Debito Banco do Brasil"
"CuentaDigital","CuentaDigital"
"CardsBrazil","CardsBrazil"
"PaysBuy","PaysBuy"
"Mazooma","Mazooma"
"eNETS Debit","eNETS Debit"
"Paysafecard","Paysafecard"
"PayPal","PayPal"
"PagTotal","PagTotal"
"Payeasy","Payeasy"
"MercadoPago","MercadoPago"
"Mozca","Mozca"
"Gash","Gash"
"ToditoCash","ToditoCash"
"SecureVaultPayments","SecureVaultPayments"
"Boleto","Boleto"
"Debito","Debito"
"Transferencia","Transferencia"
"QIWI Wallet","QIWI Wallet"
"Beeline","Beeline"
"Megafon","Megafon"
"MTS","MTS"
"WebMoney","WebMoney"
"Yandex","Yandex"
"Alliance Online","Alliance Online"
"AmBank","AmBank"
"CIMB Clicks","CIMB Clicks"
"FPX","FPX"
"Hong Leong Bank Transfer","Hong Leong Bank Transfer"
"Maybank2U","Maybank2U"
"Meps Cash","Meps Cash"
"Mobile Money","Mobile Money"
"RHB","RHB"
"Webcash","Webcash"
"Credit Cards Colombia","Credit Cards Colombia"
"PSE","PSE"
"ACH Debit","ACH Debit"
"Via Baloto","Via Baloto"
"Referenced Payment","Referenced Payment"
"Mandiri","Mandiri"
"XLTunai", "XLTunai"
"PayWithMyBank","PayWithMyBank"
"Tenpay","Tenpay"
"Bancomer Pago referenciado", "Bancomer Pago referenciado"
"Santander Pago referenciado", "Santander Pago referenciado"
"ScotiaBank Pago referenciado", "ScotiaBank Pago referenciado"
"7-Eleven Pago en efectivo", "7-Eleven Pago en efectivo"
"Oxxo Pago en efectivo", "Oxxo Pago en efectivo"
"IXE Pago referenciado", "IXE Pago referenciado"
"Boleto Itau", "Boleto Itaú"
"Cards Thailand", "Cards Thailand"
"PayPalThailand", "PayPal Thailand"
"AMEXThailand", "AMEX Thailand"
"Cash Options Thailand", "Cash Options Thailand"
"OnlineBankingThailand", "Online Banking Thailand"
"PaysBuy Wallet", "PaysBuy Wallet"
"TrustPay","TrustPay"
"MyBank", "MyBank"
"PagoEfectivo", "PagoEfectivo"
"Pagos en efectivo","Pagos en efectivo"
"OP-Pohjola","OP-Pohjola"
"Nordea","Nordea"
"Danske","Danske"
"Bitcoin","Bitcoin"
"Cash-in","Cash-in"
"Cards Russia","Cards"
"Bank Transfer description","Bank Transfer offers you the possibility to pay locally from your own bank account. You will get a reference number and the bank account details to be able to make the payment. "
"iDEAL description","iDEAL allows you to buy securely on the Internet directly from your bank account opened at one of the major Dutch banks: ING, Postbank, ABN AMRO, Rabobank and SNS Bank"
"MrCash description","Bancontact/Mister Cash is the Belgium ATM card. You can pay with this card over internet, using a unique TAN (Transaction Auhorization Number). Please make sure your card is enabled for internet purchases. "
"Giropay description","Giropay is an online payment method that enables you to make real time payments via internet banking. In order to use Giropay, you must have a Girokonto (Giro account at a participating Bank or Sparkasse)."
"EPS description","EPS e-payment standard allows you to make real time online payments via your internet banking. The main banks where you can pay from are: Bank Austria Creditanstalt, Erste Bank Sparkasse, Raiffeisen Bank and Bawag PSK."
"UseMyFunds description","UseMyFunds is secure, convenient and easy to use! It works with your existing online banking service (there is nothing to download or install on your computer). You need to register the first time you pay."
"Sofort Banking description","Sofortuberweisung/DirectEbanking is an online payment method, an instant payment through a direct bank transfer from your bank account via internet banking."
"Przelewy24 description","Przelewy24 is a secure and fast online payment service linked to all the major banks and payment methods in Poland. "
